,0_n,0_p,0_l,1_n,1_p,1_l,8_n,8_p,8_l,9_n,9_p,9_l
0,IGHM,0.0,3.606109,TCL1A,0.0,-6.895035,MALAT1,3.2973070921524704e-282,-2.22017,B2M,1.025937831157491e-128,-1.4358798
1,IGHD,0.0,4.503123,B2M,0.0,0.9187281,GAPDH,4.209706329312281e-272,3.7200544,ACTG1,2.9785858699316044e-121,2.35302
2,TCL1A,0.0,3.5200198,RP5-887A10.1,8.546430629567819e-263,4.3830557,H2AFZ,3.178274043457085e-269,4.9816375,TXNIP,1.1603217686296962e-117,-3.673982
3,CD27,1.4498123164206225e-230,-4.892222,IGHM,2.98830596068993e-244,-2.875797,TUBB,6.601298535884063e-264,4.7738733,FTL,1.0405275602003945e-107,-1.8847891
4,TMSB10,1.0897424356099266e-200,0.9365172,IGHD,1.4685883092587084e-223,-4.4710636,HMGB2,6.217281627518044e-262,5.864502,EEF1A1,2.430729836363635e-106,-0.96184105
5,GAPDH,2.88460748685207e-191,-1.9569026,HLA-B,1.0812971607614178e-202,1.05168,STMN1,3.716878178639483e-259,6.7128863,FTH1,2.704188644827724e-97,-1.5076424
6,HLA-DRA,3.963179247327144e-186,0.84408855,TMSB10,3.4224818920744335e-145,-0.83398175,TUBA1B,4.62564127408385e-254,4.6051435,EEF1B2,1.2797311186415318e-94,-1.8045082
7,AL928768.3,2.2661402671547873e-169,-5.703764,HLA-C,2.6832678747666467e-134,1.3299036,H2AFV,4.906726065688108e-238,4.711687,TOMM7,8.256261397005944e-90,-1.9795324
8,EEF1D,1.2737496362064174e-162,0.6938334,TOMM7,6.902235852653259e-132,1.0273273,HMGN2,1.2952677769710148e-237,3.7357383,TPT1,2.0975678907956462e-81,-1.2925225
9,FCER2,5.374346769930698e-160,3.3200371,HLA-A,2.1115521982527695e-131,1.1786573,KIAA0101,4.8207702601886705e-236,7.3541713,RGS13,1.1728676362761398e-79,4.7907143
10,HLA-DPB1,1.1634824084786913e-156,1.0038096,AL928768.3,4.0948244599137826e-128,3.3814921,HMGB1,2.0346741415126834e-230,2.728789,MARCKSL1,3.7629825937772843e-78,2.818767
11,HLA-DPA1,2.17365695091482e-150,0.87587816,JCHAIN,3.534896496518494e-124,1.908753,PFN1,1.4418896790949628e-226,2.76594,FAU,4.40029330679629e-78,-1.1039423
12,CD52,1.8104739149157667e-149,0.8831886,IGHA1,3.3529666412447357e-103,1.4567316,CFL1,1.547669478820023e-216,2.3274627,CXCR4,3.681789316020573e-74,-1.7922935
13,JCHAIN,3.609542154446624e-141,-2.0083718,CD79B,3.977146718064239e-100,-1.0314614,ACTG1,4.420816743031331e-212,2.6487763,GAPDH,7.115455751555983e-72,2.0113063
14,COTL1,5.2459143940793756e-135,-1.9592398,CD27,2.332342021501116e-98,2.3901315,PTTG1,6.185623870511275e-207,5.6323547,PFDN5,1.222619390252835e-71,-1.4747986
15,ACTG1,3.0135058658758473e-121,-1.3419379,RGS2,1.3660764142364202e-95,2.2161207,TXNIP,1.5022280470009127e-206,-4.6097226,SERF2,5.354279047792121e-71,1.243632
16,BTG1,9.48430384452524e-120,0.76269007,TNFRSF13B,6.9978596627083825e-93,4.4036994,HLA-DRA,4.050189055259681e-204,-2.2697775,ARPC2,1.8759295824851786e-64,1.7589173
17,RGS2,4.594075034085315e-117,-2.3103292,H3F3A,3.4928040575845155e-87,-0.7521749,ACTB,1.882553637656146e-197,1.7938496,HLA-A,3.815168855805017e-64,-1.8472623
18,RP5-887A10.1,3.3283850201018708e-115,-3.0188065,FCER2,1.0411719322786514e-83,-2.688908,SLC25A5,9.942391945831482e-197,3.5129569,ATP5L,2.6297795831092153e-63,1.4451439
19,HLA-DRB1,3.3834506187391343e-108,0.8888431,MALAT1,1.9979378479452727e-81,0.4545888,SMC4,1.984400633019849e-192,4.8550467,ACTB,8.456985934765151e-63,1.0228624
20,RNASE6,9.728634587526987e-108,1.940712,VIM,3.3518384666591648e-80,2.0340662,DEK,1.724117642640544e-187,3.6383529,SLC25A5,2.7998594292182523e-60,2.300797
21,TXNIP,1.465987323500372e-106,1.4053109,FTL,1.0947176719822107e-79,0.7109396,DUT,2.051780340277541e-187,4.00189,BASP1,6.112516060918315e-58,2.8643765
22,SMARCB1,5.780569638065312e-106,-2.4560711,GPR183,3.0532121353827575e-79,2.276785,PTMA,1.3361641926638553e-183,1.1098562,KLF2,2.0480625414911526e-55,-4.0634985
23,IGHA1,5.052494788429304e-100,-1.4384899,SSPN,8.002165080189505e-75,5.011941,TYMS,8.54504091143505e-183,9.232147,LRMP,2.2578583000905388e-52,2.7998812
24,CD37,3.25130955330021e-97,0.7086662,TPT1,2.0225000599922594e-70,0.4014883,NUSAP1,3.9804396739276625e-180,7.375049,HMGN1,2.488203677009199e-51,1.6799861
25,LDHB,4.2219094755358117e-97,-1.7806045,DUSP1,5.0630363233754054e-61,1.2145646,RAN,1.946550047794717e-179,2.9746299,H3F3A,2.3615520349025692e-48,0.94192064
26,AIM2,5.898034026634008e-93,-4.4056954,KLF6,5.820906694021962e-61,1.3908558,CKS1B,1.407060032344341e-178,4.4047837,DUSP1,1.1126040036019617e-47,-2.1753557
27,ATP5L,4.8685504835128414e-92,-1.1370028,UBC,6.241620640225028e-61,1.0541756,MKI67,5.236339783757302e-178,9.153517,UBA52,1.4897586117196615e-46,-1.0677772
28,VIM,8.743301914387687e-92,-2.3705359,LAPTM5,1.6370837790200353e-60,-0.7349113,ARPC2,5.75080066169769e-177,2.568016,BTG1,3.451222950918054e-46,-1.1383586
29,CD79A,4.344502132583689e-91,0.7901257,EEF1A1,4.9838420793923695e-58,0.30146354,COX8A,6.772245882279649e-176,3.3384511,CD69,5.213028422927225e-46,-2.9493532
30,SRGN,1.8556581306437819e-90,-2.0743432,CLECL1,1.832191558800775e-57,2.7513926,RANBP1,9.499757759180204e-176,3.7500467,PARP1,7.191860061987698e-46,2.071994
31,NEAT1,5.174358304586431e-87,-1.7186066,DBI,4.784805366175929e-57,-1.4342693,BTG1,1.0779746344548064e-175,-1.7954623,NEIL1,8.640652313576204e-46,3.2977586
32,GLTSCR2,6.44099615112009e-85,0.65559196,BIRC3,1.2520348084422477e-56,-1.3385605,HN1,3.978538517912949e-174,4.163437,MALAT1,1.0658376709631255e-44,-0.6996817
33,B2M,6.049909599785479e-84,-0.058048606,TSC22D3,1.9931961655701977e-56,1.0296618,TUBB4B,3.20388073575673e-170,4.873287,GLTSCR2,1.1375641517279087e-44,-1.365838
34,RP11-693J15.5,8.702555944781529e-83,1.5326217,H3F3B,4.0274860152412784e-56,0.8470061,TPI1,5.026310460784925e-169,3.3037443,EEF1D,1.6637896352020137e-44,-1.042154
35,PFDN5,4.7952330829870283e-82,0.54612714,UQCRB,1.9239379923191644e-55,0.8219016,ANP32B,5.832250059828579e-168,3.066114,LIMD2,1.2257832449159646e-41,1.6821724
36,PLAC8,9.861567962223644e-82,1.9005525,AIM2,4.185831474177117e-53,2.6101327,HIST1H4C,4.027500010363988e-166,4.5856986,UBE2J1,8.75252007456438e-40,2.6425629
37,LINC00926,1.617278869066734e-80,1.5858335,CD72,1.966370803966093e-52,-2.1397254,PKM,4.8710548285023985e-166,3.5893877,HMCES,1.5014059684346623e-39,3.4377537
38,PKM,1.840877391914078e-80,-2.085105,IL4R,3.0310870005732795e-51,-3.9389513,FAU,4.152522358157627e-163,-0.8808618,SUGCT,8.333506061545531e-38,4.7297673
39,CD79B,4.456371901156944e-79,0.8699485,CLEC2D,2.399234368251745e-50,-1.7739749,BIRC5,7.745314549238918e-163,8.756649,ARPC1B,8.560728684014625e-38,1.6937646
40,LGALS1,3.028270932568461e-76,-3.3961527,RP11-231C14.7,6.931850290616164e-50,-2.5929554,EEF1A1,1.9337963992319257e-162,-0.89869535,CORO1A,2.4912615270023558e-37,1.2343704
41,SARAF,1.1434500827565185e-74,1.1634634,SEC62,1.274953386132906e-49,-0.9226489,TOP2A,1.041717339725352e-161,7.704633,CD27,6.877489991789913e-37,2.1553175
42,UBC,4.5128111893748717e-72,-1.2205869,YBX3,2.4214970010714796e-48,-3.719763,DNMT1,3.5035590563694486e-161,4.4039917,CD52,9.716243351941527e-37,-1.1748359
43,NDUFA4,2.944771636471137e-71,-1.2639277,SAT1,1.2644644513044157e-46,1.023888,COX5A,8.942595009128639e-161,3.3606803,TSC22D3,3.618222029574292e-36,-1.4857119
44,ARPC2,8.415889016341241e-70,-1.1173445,ACTB,1.9611642126897345e-46,-0.42191866,UBE2C,4.046034903688622e-160,8.877374,TMSB10,1.1716225072223775e-35,-1.1213772
45,YBX3,2.684792296017915e-69,3.5940487,HMGB1,5.277618018503437e-46,-0.5649737,LDHA,4.19783234260012e-160,3.7486506,UCP2,1.1977656886502973e-35,1.7233274
46,PFN1,2.8656321130306175e-69,-0.99232656,FTH1,1.0085452497932818e-44,0.4087849,CCDC167,1.4668667382961312e-159,4.143918,ARPC3,2.453307328433062e-35,0.8319542
47,CLECL1,1.9162616994593172e-68,-3.2674716,SRGN,1.0989925410812686e-42,1.4348376,PFDN5,5.250869267507941e-159,-1.4291649,CD79B,3.904216914570698e-35,1.1122532
48,HLA-C,1.0971586645516583e-66,-0.98515165,EEF1B2,1.8641849600092138e-42,0.51080436,TK1,5.0688583363687375e-158,7.9040728,SYNE2,4.829012146482257e-35,3.3366234
49,DAAM1,3.1116862795976413e-66,-3.0041003,NEAT1,2.0791273338053275e-42,1.2566653,CD37,6.934787404185356e-158,-2.0167072,PFN1,5.111524135706576e-35,1.1491517
50,LAPTM5,8.069088678904155e-66,0.6353876,CD24,5.700687434254877e-42,1.3580899,CDKN3,7.536271488445845e-158,8.210549,SERPINA9,1.3992212187662815e-34,4.8949018
51,SELL,5.382752713725191e-65,1.7738097,JUN,6.927654821759246e-42,1.0689145,CXCR4,1.3564144564185645e-157,-1.9850514,SARAF,3.7294904282168442e-34,-2.2406943
52,CD74,9.660434554086244e-65,0.46517897,S100A6,1.1120062347870989e-41,1.7376454,CALM3,2.1706327670790233e-157,3.8931143,RNASE6,6.217529915747695e-34,-3.7789478
53,H2AFZ,4.2764408303661914e-64,-1.7341576,CXCR4,1.5760383122772835e-41,0.6080882,HMGA1,3.4793772078943916e-154,3.7264013,MBD4,8.0692651819189e-34,1.9108657
54,HMGB2,1.0080320911004787e-62,-2.2949727,ATP6V0E1,6.859555662298822e-41,0.9368647,H2AFY,5.247173791574926e-154,3.7475386,KLHL6,9.955775801685564e-34,3.0291748
55,S100A10,2.152941591993392e-62,-2.2616205,CD79A,8.747485921258404e-39,-0.4026884,ATP5G3,3.4207161843919335e-153,3.1238856,LCP1,1.1121312442035772e-33,1.8395474
