,8_n,8_p,8_l,9_n,9_p,9_l
0,TUBA1B,3.20648234280551e-126,5.291199,TUBA1B,3.20648234280551e-126,-5.291199
1,TUBB,2.2909335996307525e-122,4.214204,TUBB,2.2909335996307525e-122,-4.214204
2,H2AFZ,3.097309874799935e-115,3.7334068,H2AFZ,3.097309874799935e-115,-3.7334068
3,HMGB2,1.656795751379118e-109,4.4341545,HMGB2,1.656795751379118e-109,-4.4341545
4,STMN1,5.848598571498046e-95,4.111154,STMN1,5.848598571498046e-95,-4.111154
5,PTMA,1.3025068491441036e-90,1.5120565,PTMA,1.3025068491441036e-90,-1.5120565
6,DUT,5.307784319662272e-87,3.6921327,DUT,5.307784319662272e-87,-3.6921327
7,HMGB1,4.953358839658765e-86,2.0246022,HMGB1,4.953358839658765e-86,-2.0246022
8,DEK,1.4221654376028377e-84,3.0852094,DEK,1.4221654376028377e-84,-3.0852094
9,HIST1H4C,3.0101856640752813e-84,4.99879,HIST1H4C,3.0101856640752813e-84,-4.99879
10,KIAA0101,2.1295107187212864e-83,3.8433855,KIAA0101,2.1295107187212864e-83,-3.8433855
11,RANBP1,1.7025829438354327e-82,3.2597313,RANBP1,1.7025829438354327e-82,-3.2597313
12,CKS1B,2.4192001447723665e-82,3.9316456,CKS1B,2.4192001447723665e-82,-3.9316456
13,TYMS,1.2211435847301052e-79,5.5311623,TYMS,1.2211435847301052e-79,-5.5311623
14,NUSAP1,2.1812132241625838e-77,4.992649,NUSAP1,2.1812132241625838e-77,-4.992649
15,MKI67,2.2858028187664566e-77,5.661701,MKI67,2.2858028187664566e-77,-5.661701
16,TUBB4B,3.6722668659029235e-76,4.259346,TUBB4B,3.6722668659029235e-76,-4.259346
17,TOP2A,2.989439755766288e-72,5.754719,TOP2A,2.989439755766288e-72,-5.754719
18,HMGN2,4.576330855089733e-72,2.5252507,HMGN2,4.576330855089733e-72,-2.5252507
19,UBE2C,1.4113121599659111e-70,5.801269,UBE2C,1.4113121599659111e-70,-5.801269
20,COX8A,1.9137202641664273e-69,2.3132768,COX8A,1.9137202641664273e-69,-2.3132768
21,BIRC5,2.450331574591338e-69,5.0757036,BIRC5,2.450331574591338e-69,-5.0757036
22,RRM2,3.6324208409352256e-69,6.400626,RRM2,3.6324208409352256e-69,-6.400626
23,TK1,1.493400115513108e-67,5.0892406,TK1,1.493400115513108e-67,-5.0892406
24,SMC4,5.0993391389118756e-67,3.1782732,SMC4,5.0993391389118756e-67,-3.1782732
25,CDKN3,1.056879909513436e-65,4.760338,CDKN3,1.056879909513436e-65,-4.760338
26,SIVA1,9.020779896128343e-65,3.0462646,SIVA1,9.020779896128343e-65,-3.0462646
27,AURKB,9.959897452617329e-65,6.1331525,AURKB,9.959897452617329e-65,-6.1331525
28,H2AFV,1.3646151815888866e-64,2.4983428,H2AFV,1.3646151815888866e-64,-2.4983428
29,CD37,1.1105011155693652e-63,-1.7743403,CD37,1.1105011155693652e-63,1.7743403
30,UBE2T,5.027679539281922e-61,4.5797315,UBE2T,5.027679539281922e-61,-4.5797315
31,ZWINT,4.4061597220248537e-60,4.8416157,ZWINT,4.4061597220248537e-60,-4.8416157
32,CDK1,5.127422206220523e-60,6.7969174,CDK1,5.127422206220523e-60,-6.7969174
33,SMC2,1.0556881751463776e-59,4.3370676,SMC2,1.0556881751463776e-59,-4.3370676
34,RAN,1.9711294040848196e-58,1.9287628,RAN,1.9711294040848196e-58,-1.9287628
35,MALAT1,6.855030776348546e-58,-1.3766137,MALAT1,6.855030776348546e-58,1.3766137
