,B-cells_n,Myeloid_n,Plasma_n,T/NK_n,Unk0_n,Unk1_n,Unk2_n,Unk3_n,Unk4_n
CD74,3.5809109210968018,1.2577078342437744,-2.583819627761841,-3.4099771976470947,1.2384315729141235,-2.475548267364502,2.3935561180114746,-4.857419013977051,2.7439632415771484
FAU,1.606612205505371,-0.5365090370178223,-1.740221381187439,-0.3579723536968231,-0.07598616927862167,-4.200183868408203,0.044156379997730255,-0.7153671979904175,-0.6404895782470703
HLA-DRA,4.945535182952881,2.9421944618225098,-6.68015193939209,-4.843435287475586,1.3974725008010864,-4.064988613128662,2.014024257659912,-3.8428046703338623,3.866755485534668
EEF1A1,1.8011250495910645,-0.9072121381759644,-2.349665641784668,-0.18556776642799377,0.11488041281700134,-2.58774995803833,0.04098718240857124,0.04049766808748245,0.6354566812515259
CD37,3.41184401512146,-1.693719744682312,-4.7259745597839355,-1.4357131719589233,0.762990415096283,-2.5792734622955322,-0.516434371471405,-2.973860025405884,-2.899901866912842
EEF1B2,2.1607000827789307,-1.373876929283142,-1.5017045736312866,-0.9085907936096191,-0.08599639683961868,-4.710622787475586,0.07790105044841766,-0.12808766961097717,-0.35404425859451294
CD79A,3.8037612438201904,-6.30213737487793,0.7541813254356384,-7.152448654174805,1.3240422010421753,-6.805825233459473,-4.6135125160217285,-6.780848503112793,-6.62061882019043
HLA-DPB1,3.618685245513916,1.9283652305603027,-6.064158916473389,-3.091991662979126,0.5172051787376404,-2.3566856384277344,1.7625538110733032,-5.596970558166504,3.612318277359009
HLA-DPA1,3.456744432449341,1.942288875579834,-4.5570173263549805,-3.170522928237915,0.7245235443115234,-2.234995126724243,1.696834683418274,-4.145904064178467,3.311070203781128
MS4A1,4.837875843048096,-5.87764835357666,-6.4235758781433105,-7.561282634735107,2.2654612064361572,-30.651185989379883,-5.028286457061768,-6.1149444580078125,-30.637582778930664
CXCR4,2.7463011741638184,-1.3136405944824219,-5.747344017028809,0.06910356879234314,-0.4346328675746918,0.9715971350669861,1.4183429479599,-3.5620548725128174,-0.971127986907959
RACK1,1.5442858934402466,-1.014370322227478,-1.7295602560043335,-0.3124130070209503,0.40996551513671875,-4.026543617248535,-0.1408819705247879,0.1379142850637436,-0.23028405010700226
SRGN,-3.5669515132904053,3.3040664196014404,-0.6196882128715515,2.7289931774139404,-1.4014238119125366,2.6345388889312744,1.8418668508529663,-0.5149003267288208,1.0829126834869385
CD79B,3.8895182609558105,-5.191332817077637,-2.402958869934082,-4.277271270751953,2.207705020904541,-2.247896909713745,-5.505621910095215,-5.228227138519287,-30.855003356933594
UBA52,1.4202479124069214,0.03593723475933075,-2.41153883934021,-0.030254391953349113,0.08540866523981094,-4.576533794403076,0.1027996614575386,-0.4730687439441681,0.23223713040351868
TYROBP,-5.637899398803711,7.67174768447876,-4.71148157119751,-0.6390946507453918,-3.241473913192749,-2.0269460678100586,4.9762163162231445,1.6322885751724243,5.074337482452393
LYZ,-5.280673027038574,10.434341430664062,-5.004146099090576,-4.622671127319336,-3.5306577682495117,-4.077573776245117,-1.868618130683899,-0.6803499460220337,2.4012086391448975
FCER1G,-5.9796833992004395,7.970694065093994,-4.815299034118652,-1.2726858854293823,-3.200864791870117,-4.217825412750244,4.580389499664307,2.2419822216033936,-1.3546147346496582
AIF1,-3.995335817337036,8.55096435546875,-5.8515214920043945,-3.1221888065338135,-1.4015065431594849,-28.314950942993164,1.2807031869888306,-3.025562047958374,0.5972713828086853
CST3,-5.204568386077881,9.023433685302734,-3.080347776412964,-4.3916473388671875,-3.6531410217285156,-4.177393436431885,4.486240863800049,3.330094814300537,2.394033908843994
S100A11,-3.6394758224487305,5.162750720977783,-1.666451334953308,1.1584564447402954,-1.0362612009048462,-1.6230331659317017,1.4013116359710693,2.8340280055999756,2.2264413833618164
FTL,0.7377414703369141,2.98534893989563,-0.08806554973125458,-1.4062849283218384,-1.520387887954712,-3.9421584606170654,0.6720331311225891,1.8775787353515625,-0.4763481616973877
FTH1,1.066458821296692,3.0460383892059326,-2.434154510498047,-0.7316678166389465,-0.42517584562301636,-2.596869707107544,0.8771178722381592,2.0008418560028076,1.227601170539856
SAT1,-0.10885091871023178,3.9436299800872803,-1.828192114830017,-0.31766772270202637,-0.7028051018714905,-0.20985649526119232,0.829328179359436,1.228084683418274,2.519317388534546
TIMP1,-4.118634223937988,6.843647003173828,-0.21680237352848053,-1.4584124088287354,-2.8193867206573486,-0.7280223369598389,-3.507418155670166,1.9721214771270752,0.8688802719116211
PSAP,-1.1815335750579834,4.385253429412842,0.5520234704017639,-1.3664638996124268,-1.347429871559143,-0.4560897648334503,1.7015663385391235,-0.18825609982013702,0.17781874537467957
LST1,-1.308807373046875,5.881052494049072,-6.2622389793396,-1.8775765895843506,-0.9633282423019409,-1.7816917896270752,1.368764042854309,-1.1589359045028687,2.502666711807251
S100A6,-2.6775097846984863,4.17188024520874,-2.0801751613616943,1.95591402053833,-1.7740663290023804,-0.7406314611434937,2.759840726852417,4.225778579711914,0.2940313518047333
LGALS1,-2.6942005157470703,4.279626369476318,1.7790724039077759,-0.7045408487319946,-0.6779666543006897,-3.1358556747436523,1.6554945707321167,-0.17073792219161987,3.30580997467041
NPC2,-0.40393778681755066,4.0479230880737305,0.8533309698104858,-2.6228466033935547,-1.7319666147232056,-1.9119160175323486,3.8766510486602783,0.5735582113265991,1.7104908227920532
SSR4,-1.7237193584442139,-0.38394927978515625,4.190547466278076,-0.5748530030250549,-1.4215304851531982,-0.6145793795585632,0.9486543536186218,-0.29908570647239685,-0.6286575794219971
MZB1,-2.583472967147827,-4.39303731918335,6.2700276374816895,-2.4781668186187744,-0.07243210077285767,-2.6680264472961426,1.3832414150238037,-30.064908981323242,-4.006596088409424
JCHAIN,-1.3408923149108887,-2.976627826690674,8.068140983581543,-4.047359466552734,-0.4821487367153168,-4.575078964233398,2.5306177139282227,-2.7349164485931396,-4.639284133911133
TMSB4X,0.9375174641609192,0.461897611618042,-3.459270477294922,0.8854942917823792,0.5064668655395508,-2.708822727203369,-0.013549094088375568,0.06936930119991302,0.6359251737594604
DERL3,-1.8739370107650757,-4.440677165985107,5.9617204666137695,-5.453853130340576,-1.7091232538223267,-4.857093334197998,1.8874790668487549,-4.172878265380859,-29.09809112548828
ACTB,0.3451257348060608,1.8209651708602905,-4.973951816558838,1.13385808467865,1.9289321899414062,-0.23242445290088654,-0.16146081686019897,0.21368756890296936,2.424356698989868
BTG1,2.126645565032959,-1.6176238059997559,-4.716361045837402,0.9384983777999878,-0.3598688244819641,0.6718497276306152,-2.792381525039673,-2.4690911769866943,0.4829528033733368
