,ensembl_id,gene_symbol
0,ENSG00000237683,AL627309.1
1,ENSG00000228463,AP006222.2
2,ENSG00000225880,LINC00115
3,ENSG00000230368,FAM41C
4,ENSG00000187634,SAMD11
5,ENSG00000188976,NOC2L
6,ENSG00000187961,KLHL17
7,ENSG00000187583,PLEKHN1
8,ENSG00000187642,C1orf170
9,ENSG00000188290,HES4
10,ENSG00000187608,ISG15
11,ENSG00000188157,AGRN
12,ENSG00000131591,C1orf159
13,ENSG00000162571,TTLL10
14,ENSG00000186891,TNFRSF18
15,ENSG00000186827,TNFRSF4
16,ENSG00000078808,SDF4
17,ENSG00000176022,B3GALT6
18,ENSG00000184163,FAM132A
19,ENSG00000160087,UBE2J2
20,ENSG00000162572,SCNN1D
21,ENSG00000131584,ACAP3
22,ENSG00000169972,PUSL1
23,ENSG00000127054,CPSF3L
24,ENSG00000224051,GLTPD1
25,ENSG00000107404,DVL1
26,ENSG00000162576,MXRA8
27,ENSG00000175756,AURKAIP1
28,ENSG00000221978,CCNL2
29,ENSG00000242485,MRPL20
30,ENSG00000235098,ANKRD65
31,ENSG00000179403,VWA1
32,ENSG00000215915,ATAD3C
33,ENSG00000160072,ATAD3B
34,ENSG00000197785,ATAD3A
35,ENSG00000160075,SSU72
36,ENSG00000215014,AL645728.1
37,ENSG00000228594,C1orf233
38,ENSG00000197530,MIB2
39,ENSG00000189409,MMP23B
40,ENSG00000248333,CDK11B
41,ENSG00000189339,SLC35E2B
42,ENSG00000008128,CDK11A
43,ENSG00000215790,SLC35E2
44,ENSG00000008130,NADK
45,ENSG00000078369,GNB1
46,ENSG00000178821,TMEM52
47,ENSG00000187730,GABRD
48,ENSG00000067606,PRKCZ
49,ENSG00000162585,C1orf86
50,ENSG00000269554,AL590822.2
51,ENSG00000203301,AL590822.1
52,ENSG00000157933,SKI
53,ENSG00000116151,MORN1
54,ENSG00000157916,RER1
55,ENSG00000157911,PEX10
56,ENSG00000149527,PLCH2
57,ENSG00000157881,PANK4
58,ENSG00000157873,TNFRSF14
59,ENSG00000157870,FAM213B
60,ENSG00000142606,MMEL1
61,ENSG00000215912,TTC34
62,ENSG00000177133,LINC00982
63,ENSG00000142611,PRDM16
64,ENSG00000130762,ARHGEF16
65,ENSG00000162591,MEGF6
66,ENSG00000158109,TPRG1L
