,cell_type
0,CD8A+ NK-like
1,CD8A+ Proliferating
2,CD8A+ Exhausted IEG
3,Conventional NK
4,CD8A+ Tissue-resident
5,CD45- Vascular Endothelium
6,NK HSP+
7,CD4+ Activated IEG
8,CD8A+ Tissue-resident
9,CD8A+ NK-like
10,TAM/TCR (Ambiguos)
11,CD45- PAX8+ renal epithelium
12,CD8A+ Exhausted IEG
13,TAM HLAhi
14,CD8A+ Exhausted
15,CD4+ Activated IEG
16,CD14+ Monocyte
17,CD8A+ Tissue-resident
18,CD8A+ Exhausted IEG
19,CD8A+ Exhausted IEG
20,CD14+/CD16+ Monocyte
21,CD4+ Activated IEG
22,NK HSP+
23,CD4+ Activated IEG
24,CD14+/CD16+ Monocyte
25,CD45- Myofibroblast
26,CD14+/CD16+ Monocyte
27,CD8A+ Exhausted IEG
28,CD4+ Naive
29,CD4+ Activated IEG
30,CD8A+ Tissue-resident
31,TAM HLAhi
32,cDC2
33,CD8A+ Exhausted IEG
34,CD14+/CD16+ Monocyte
35,CD4+ Activated IEG
36,CD8A+ Tissue-resident
37,CD8A+ Exhausted IEG
38,NK HSP+
39,CD14+/CD16+ Monocyte
40,CD8A+ Proliferating
41,NK HSP+
42,CD14+/CD16+ Monocyte
43,CD8A+ NK-like
44,TAM HLAint
45,CD8A+ Tissue-resident
46,CD8A+ Exhausted IEG
47,CD8A+ Exhausted
48,CD8A+ NK-like
49,NK HSP+
50,TAM/TCR (Ambiguos)
51,CD8A+ Exhausted
52,CD8A+ Tissue-resident
53,CD8A+ NK-like
54,Conventional NK
55,CD8A+ Tissue-resident
56,CD4+ Activated IEG
57,Conventional NK
58,NK HSP+
59,NK HSP+
60,TAM HLAhi
61,CD8A+ NK-like
62,CD8A+ Exhausted IEG
63,Conventional NK
64,NK HSP+
65,CD4+ Activated IEG
66,CD8A+ NK-like
67,CD8A+ Exhausted
68,NK HSP+
69,CD8A+ NK-like
70,CD8A+ Proliferating
71,CD14+/CD16+ Monocyte
72,CD4+ Naive
73,Conventional NK
74,CD8A+ Exhausted IEG
75,CD4+ Activated IEG
76,CD8A+ Exhausted
77,CD4+ Proliferating
78,CD8A+ Exhausted IEG
79,CD8A+ Tissue-resident
80,CD14+/CD16+ Monocyte
81,TAM HLAhi
82,CD8A+ Tissue-resident
