,scNym_confidence
0,0.6939595
1,0.71429056
2,0.7190755
3,0.7874597
4,0.7889943
5,0.793487
6,0.8036676
7,0.78582174
8,0.8502443
9,0.84497523
10,0.5810744
11,0.81659347
12,0.76908094
13,0.653578
14,0.8112057
15,0.8382039
16,0.7325972
17,0.7150365
18,0.76461905
19,0.7974023
20,0.7116799
21,0.7740478
22,0.7720379
23,0.82499224
24,0.7114437
25,0.7508287
26,0.663534
27,0.77927077
28,0.8488209
29,0.8226866
30,0.8432858
31,0.6661848
32,0.6563713
33,0.7824529
34,0.65475017
35,0.8230253
36,0.84382653
37,0.8082252
38,0.81720454
39,0.739745
40,0.69517386
41,0.75038767
42,0.73519415
43,0.784296
44,0.7212297
45,0.7980744
46,0.7561096
47,0.7427975
48,0.80498666
49,0.81859803
50,0.622691
51,0.8079651
52,0.8700167
53,0.7910286
54,0.7851912
55,0.7161923
56,0.81851655
57,0.77869755
58,0.81304055
59,0.8033064
60,0.69627446
61,0.7431303
62,0.73233765
63,0.7802216
64,0.7939143
65,0.8158601
66,0.8227854
67,0.7636796
68,0.75532776
69,0.7775053
70,0.75236577
71,0.72275686
72,0.7973253
73,0.7712136
74,0.8010085
75,0.79440963
76,0.7667334
77,0.6788301
78,0.7727341
79,0.7883245
80,0.68074644
81,0.70537484
82,0.84924793
83,0.715768
84,0.75522816
85,0.8133052
86,0.7619889
87,0.72775996
88,0.8347006
89,0.6179887
90,0.7731636
91,0.6727604
92,0.8267109
93,0.7828815
94,0.7561909
95,0.6845282
96,0.87888056
97,0.76599187
98,0.5703688
99,0.60838234
100,0.8153138
101,0.764036
102,0.7741584
103,0.8156679
104,0.8142474
105,0.7673619
106,0.635503
107,0.78459704
108,0.84316456
109,0.81060153
110,0.817529
111,0.82732534
112,0.81608874
113,0.85258496
114,0.76085395
115,0.77851427
116,0.878773
117,0.7737986
118,0.64093953
119,0.80523586
120,0.79729766
121,0.74074537
122,0.77762717
123,0.7878557
124,0.83740324
125,0.7102002
126,0.8041426
127,0.76287013
128,0.8262699
129,0.8089856
130,0.6714053
131,0.8487504
132,0.7948861
133,0.77789927
134,0.7793079
135,0.8175563
136,0.7585084
137,0.6560937
138,0.81352484
139,0.7889399
140,0.7878565
141,0.8323153
142,0.76091063
143,0.7930347
144,0.77293336
145,0.7965728
146,0.79100984
147,0.7397935
148,0.79089445
149,0.7780668
150,0.7468547
151,0.7745782
152,0.81510204
153,0.60350966
154,0.7841013
155,0.780045
156,0.74973345
157,0.74927527
158,0.78924227
159,0.7883845
160,0.69925845
161,0.7903859
162,0.7837336
163,0.8073885
164,0.77290154
165,0.66644955
166,0.76661825
167,0.7712043
168,0.7365814
169,0.8114884
170,0.687724
171,0.7887396
172,0.65262794
