"","x"
"1",1
"2",2
"3",2
"4",6
"5",6
"6",0
"7",2
"8",5
"9",2
"10",2
"11",8
"12",7
"13",5
"14",2
"15",2
"16",1
"17",6
"18",2
"19",2
"20",3
"21",5
"22",0
"23",3
"24",1
"25",8
"26",8
"27",3
"28",1
"29",6
"30",4
"31",8
"32",5
"33",6
"34",4
"35",3
"36",4
"37",1
"38",7
"39",7
"40",0
"41",1
"42",2
"43",6
"44",5
"45",1
"46",7
"47",0
"48",0
"49",3
"50",1
"51",3
"52",0
"53",5
"54",4
"55",0
"56",3
"57",3
"58",2
"59",4
"60",6
"61",7
"62",8
"63",8
"64",5
"65",6
"66",2
"67",2
"68",4
"69",8
"70",5
"71",0
"72",5
"73",4
"74",0
"75",0
"76",4
"77",3
"78",6
"79",6
"80",5
"81",0
"82",6
"83",1
"84",4
"85",6
"86",2
"87",2
"88",4
"89",5
"90",7
"91",4
"92",7
"93",1
"94",4
"95",3
"96",7
"97",0
"98",2
"99",1
"100",8
"101",1
"102",0
"103",7
"104",1
"105",6
"106",0
"107",5
"108",1
"109",7
"110",0
"111",2
"112",1
"113",3
"114",1
"115",4
"116",3
"117",7
"118",7
"119",1
"120",5
"121",3
"122",7
"123",7
"124",7
"125",1
"126",1
"127",1
"128",2
"129",1
"130",1
"131",0
"132",5
"133",1
"134",1
"135",0
"136",4
"137",1
"138",4
"139",3
"140",4
"141",0
"142",0
"143",1
"144",0
"145",0
"146",0
"147",2
"148",5
"149",1
"150",3
"151",0
"152",4
"153",5
"154",0
"155",1
"156",2
"157",0
"158",5
"159",1
"160",5
"161",0
"162",3
"163",0
"164",5
"165",2
"166",7
"167",2
"168",2
"169",8
"170",5
"171",2
"172",4
"173",5
"174",0
"175",5
"176",7
"177",8
"178",2
"179",0
"180",4
"181",2
"182",0
"183",6
"184",3
"185",8
"186",0
"187",5
"188",4
"189",5
"190",0
"191",7
"192",5
"193",0
"194",3
"195",0
"196",1
"197",1
"198",1
"199",0
"200",1
"201",3
"202",3
"203",6
"204",0
"205",5
"206",8
"207",7
"208",3
"209",0
"210",4
"211",8
"212",4
"213",3
"214",7
"215",1
"216",4
"217",6
"218",2
"219",0
"220",0
"221",0
"222",0
"223",0
"224",1
"225",6
"226",2
"227",5
"228",1
"229",3
"230",7
"231",7
"232",4
"233",2
"234",4
"235",1
"236",5
"237",3
"238",0
"239",0
"240",1
"241",3
"242",0
"243",8
"244",0
"245",0
"246",0
"247",5
"248",2
"249",1
"250",7
"251",8
"252",0
"253",0
"254",1
"255",0
"256",0
"257",1
"258",7
"259",4
"260",8
"261",7
"262",5
"263",7
"264",1
"265",0
"266",7
"267",1
"268",7
"269",5
"270",6
"271",0
"272",0
"273",3
"274",1
"275",7
"276",4
"277",4
"278",2
"279",5
"280",5
"281",6
"282",1
"283",7
"284",7
"285",3
"286",3
"287",2
"288",3
"289",7
"290",6
"291",6
"292",5
"293",6
"294",7
"295",2
"296",3
"297",4
"298",2
"299",1
"300",3
"301",7
"302",7
"303",1
"304",0
"305",4
"306",2
"307",2
"308",5
"309",5
"310",6
"311",2
"312",0
"313",0
"314",6
"315",5
"316",0
"317",4
"318",1
"319",1
"320",2
"321",2
"322",2
"323",4
"324",0
"325",1
"326",8
"327",6
"328",1
"329",3
"330",1
"331",3
"332",6
"333",3
"334",1
"335",2
"336",6
"337",2
"338",3
"339",8
"340",2
"341",7
"342",0
"343",4
"344",6
"345",5
"346",3
"347",8
"348",8
"349",5
"350",4
"351",1
"352",0
"353",4
"354",0
"355",0
"356",6
"357",1
"358",2
"359",4
"360",1
"361",3
"362",0
"363",6
"364",8
"365",2
"366",8
"367",0
"368",4
"369",2
"370",4
"371",0
"372",8
"373",8
"374",5
"375",7
"376",6
"377",7
"378",1
"379",1
"380",1
"381",1
"382",4
"383",3
"384",0
"385",5
"386",5
"387",3
"388",1
"389",2
"390",0
"391",6
"392",5
"393",2
"394",6
"395",5
"396",6
"397",6
"398",3
"399",4
"400",2
"401",4
"402",4
"403",2
"404",0
"405",2
"406",2
"407",0
"408",4
"409",4
"410",6
"411",2
"412",3
"413",7
"414",1
"415",0
"416",4
"417",4
"418",5
"419",6
"420",5
"421",5
"422",7
"423",7
"424",1
"425",8
"426",1
"427",5
"428",4
"429",4
"430",6
"431",7
"432",5
"433",4
"434",8
"435",4
"436",7
"437",7
"438",5
"439",0
"440",1
"441",1
"442",1
"443",1
"444",2
"445",1
"446",7
"447",4
"448",8
"449",5
"450",2
"451",3
"452",1
