"","UMAP_1","UMAP_2"
"120703409412894_1",-1.43853621250072,8.76880233579569
"120703409608477_1",-3.30981741910854,8.09006803327493
"120703424281886_1",-0.168260113057288,7.92177264982156
"120703424355740_1",-5.92016802793423,-5.00436098283835
"120703455185268_1",-5.23923312192837,-4.96868259615012
"120703455251189_1",1.43465079301914,7.33957259946756
"120726897777051_1",-6.74178467756191,6.21542613798074
"120726924192563_1",-1.1717016554443,-0.316262671414093
"120726924409269_1",-6.67548953061977,7.16843288236551
"120726943546653_1",-6.36195765500942,5.34005515867166
"120772948290924_1",-6.53779564863125,6.25131910139017
"120772948801766_1",-4.63559208875576,-3.68614418214865
"120772949076331_1",2.40436161989292,0.693445882138535
"120786773456747_1",-2.59500180250088,7.2444702892869
"120786785364852_1",4.90407694810948,2.20620541864328
"120786804395379_1",-1.69324801927486,8.40335576826029
"120797913594667_1",-6.6023999310104,-5.09484321779318
"120797925698348_1",-3.15377746587673,8.27083127790384
"120797944495531_1",-2.89663444524685,7.78086870008402
"120797944823212_1",1.56201781267246,8.19923799329691
"120797944833758_1",-1.70591591363827,-0.679776260319427
"120864485002085_1",1.74117912286839,6.03500860029154
"120864497645916_1",-0.200920269545706,3.53199045949869
"120864516750196_1",-2.20757280355373,9.04495971494608
"121202296403693_1",-5.43974028592983,5.00289790922098
"121202311032043_1",-3.76241217618862,8.33947246366434
"121202311056758_1",1.48511327737888,6.39585368925028
"121202311351012_1",-2.41343401437679,7.97672431760721
"121202311612781_1",-10.4966121769516,-6.50255615419455
"121202323679660_1",0.179996683541147,6.19608037763529
"121202323933484_1",-0.783320502099188,0.629168620642945
"121202324166940_1",-3.6815847015945,1.62430923276834
"121202342287597_1",-7.73529301649013,-5.01495582765646
"121202342848349_1",-0.982068405207785,8.20622270399027
"121276787517685_1",-0.148194984254034,3.49827449613504
"121276815067059_1",-3.59916506772915,2.24696212106638
"121276833619364_1",1.47443069452366,1.36644261175089
"121319782803691_1",-0.437590188067945,-0.474487909737304
"121319782837099_1",0.104911520424692,0.995458236274048
"121338005248427_1",-9.58544598585049,-1.94049842065878
"121338017766244_1",-3.49959980016628,2.44437759214334
"121338017802020_1",-5.6394601917831,4.80915897184305
"121338036677349_1",-11.1257015324203,-5.29177076524802
"121338036960166_1",-1.38249395852962,-0.877380201283172
"121339869575595_1",-2.35753010278622,7.0690233021348
"121339883941172_1",1.74577607149204,0.625638446149155
"121339897101739_1",-2.21635352140346,8.24760787778787
"121339915450214_1",-10.4677930927841,-3.35204798883505
"121339916278053_1",1.06015504831394,7.34775178724222
"121742656714475_1",-1.06434546476284,8.73980205350809
"121742671862619_1",5.01460541719517,0.781459560927674
"121742672185116_1",3.31245912546238,2.64303462797098
"121742684712348_1",-10.0481725788681,-6.43627531236716
"121742684735902_1",-1.67987559801021,6.82983129316263
"121742684765043_1",-2.4860337830154,4.88783090406351
"121742703646428_1",2.00001777643284,-0.490573713246063
"121812465080036_1",1.38239432806095,8.03552024656229
"121812477176627_1",-3.93882428174892,-3.69870788759299
"121812477504371_1",-6.69810973173061,6.19790761762552
"121812496800045_1",-7.88833437925259,-5.60990602678366
"121812496862044_1",-0.151109651383551,1.26769184165887
"121826140146411_1",-5.12099658018032,5.9315459042161
"121826140600094_1",-5.80707608228603,4.91742389493875
"121826186489126_1",-6.66726122861782,6.75006931119852
"121879183616436_1",-6.67866478925625,-6.13585216707297
"121879183678749_1",-1.52379189496914,8.43731086545877
"121879202524390_1",-6.95049391752163,7.20401256376199
"121896067876654_1",-7.01227198606411,-0.317602881851867
"121896082265891_1",-1.72115884786526,6.49713437848978
"121896082750836_1",-1.06797204976955,5.87733810239725
"121896082987317_1",-1.30005757575909,8.73403518491678
"121896113655142_1",0.00799189442714837,0.856630018290802
"121955391859547_1",0.553210391941873,6.64252059751444
"121955392056100_1",4.02878941530308,3.72847144895486
"121955392538973_1",-2.98108445173183,7.2757932453721
"121955406527782_1",-2.32421694761196,7.90270154767923
"121955406732124_1",1.56088627809605,6.65343301587991
"121955419313910_1",-9.78652916913906,-4.58807642168112
"121955437959988_1",-9.7183347797958,-2.33662683672018
"121955438189349_1",-0.876236364897879,0.648523157772347
"121965754603883_1",-1.47094987398067,8.17362897687845
"121965773248869_1",-5.37631569868008,-5.74067241853781
"122282749049772_1",-2.9067588902084,7.72912805372171
"122282749573942_1",-3.59889303213039,1.81902544790201
"122282776422196_1",-11.3030525303451,-5.88136799043722
"122282776877876_1",-3.55567537313381,2.27363031202249
"122282795783900_1",4.07979334825596,1.15793727928095
"122293379516725_1",-5.78970204358974,5.15774886899881
"122293398162845_1",-1.14463375574032,0.447252765607759
"122293398719836_1",0.0550620698364654,0.931181183394715
"122293398976366_1",-2.45484553342739,4.8294607906907
"122308384419054_1",-5.35418568616787,4.9214116840928
"122308384737590_1",-9.22263966566006,-1.04009766286917
"122308399847324_1",-2.23918758397976,5.93347757154398
"122308431043427_1",0.822979941311685,7.14399736219339
"122310398494493_1",-4.13438473707119,-3.5935972422988
"122310398527196_1",-3.06834207540432,8.57130592161112
"122310412688692_1",-3.18827520376125,8.78297298246317
"122310413174710_1",-5.83780585294643,4.98067395978861
"122428778047923_1",-1.93869637018123,7.69833200269632
"122428793215220_1",-2.57250247960964,2.45210831457071
"122428824598837_1",0.587017192784158,7.18777339750223
"122436474260893_1",1.64812673563084,6.92429321103983
"122436474489260_1",0.797263278904764,8.9350859432786
"122514677292317_1",-0.0857030308810792,-3.17681629365988
"122514677544822_1",-1.81637023454586,7.55509965711527
"122514691746227_1",-2.08656893735805,0.41091567960821
"122514705140443_1",-1.33867357736507,8.98817985349588
"122514724010285_1",-0.87015919452587,0.866952767905518
"122514724011310_1",-5.63246642118374,4.78323762708597
"125042399755190_1",-6.52139578824917,5.66580121808939
"125042446153525_1",-6.73654519086758,1.16032235914163
"125042446166428_1",1.12745954031071,8.95870178037576
"125197033290093_1",-2.60406242376247,8.42179458433084
"125197045848349_1",-1.37114237314144,8.42353408628397
"125197065043294_1",1.26892448896488,7.53751819425516
"125239699847605_1",-1.05046580797115,1.51720910364084
"125239700121974_1",1.96186532014927,3.56520622068338
"125239700417243_1",-1.58852122789303,7.5513698368638
"125239714826038_1",-1.49378190999904,0.0399575143425906
"125239727180597_1",1.78048123354038,6.93748348051004
"125247350298867_1",-0.156089142617377,1.26416455799036
"125247350852445_1",-0.220329642948302,0.0648181944458926
"125247365232371_1",-0.799539730605276,1.23633079820566
"125247377267549_1",-2.10535310274044,7.67386882596903
"125247377336749_1",-2.47611342435757,5.03105562025003
"125247396165932_1",6.254492654744,2.31422667795114
"125677947731372_1",-5.96186171537319,5.01677196317606
"125719945369949_1",-2.33543299203792,7.52547519498758
"125719958477029_1",-6.85987149244228,6.43058555417947
"125719958646046_1",-7.03158484464565,0.517049951788708
"125728298850612_1",-6.92003212934414,-0.539824315968231
"125745312773988_1",-5.73343764310757,5.63789956861429
"125745325529526_1",-2.26691101556698,0.87596203976564
"125745325628637_1",-3.15504728322903,7.81252210431986
"126132113599204_1",0.146923675480691,0.183295226034447
"126132114045854_1",-0.0969853556720338,6.70197217756204
"126149052025774_1",0.617599143925516,-2.35444361871786
"126149070866780_1",-10.5217023945419,0.502768604394718
"126149071621355_1",-0.209780082759055,6.36088817411356
"126218832558444_1",-2.5788289166061,7.15146415525369
"126218832669036_1",-1.92492292886654,7.13070552640848
"126218864617820_1",1.24542821878513,7.38679473691873
"126218864875358_1",-2.44102571969906,9.03814571195535
"126227542620077_1",-0.0485181665984711,6.36874263578348
"126227557346548_1",-2.7704039669601,8.5441300182908
"126227557566254_1",1.54539050096592,-0.549416551056579
"126227569596252_1",-2.21909819608608,-0.459653148117737
"126227588173211_1",-3.55450140005031,7.43234126859598
"126227588176814_1",0.97861553663334,6.52373950773172
"126227588962140_1",-4.05659686094204,7.51710622602396
"126227588986670_1",7.59318675035557,-1.51069934076376
"126293994491316_1",1.87803305620274,-2.61586553758688
"126294007433950_1",-2.5978878594009,8.93763130002908
"126294007626477_1",-1.261895642337,7.35832755857401
"126294007634779_1",-1.83071063524166,8.00897567563944
"126364068830118_1",-0.207239494380148,8.19272296720438
"126364087662892_1",-0.438526303228529,0.972148647841736
"126680944565556_1",-1.71658335691372,8.74689929777078
"126680957042013_1",0.510417356434671,1.87454026037149
"126680957044581_1",0.705795063916055,8.00243346982889
"126680957406630_1",0.668169989529459,6.55985992246561
"126680975723436_1",-1.33818738227764,8.9312960415452
"126680975752563_1",4.45071257585606,-5.30640155977316
"126681616076188_1",-6.22409020429531,5.25373904996805
