,MajorCluster,P20181114,P20181121,P20181122,P20181123,P20181128,P20181211,P20181217,P20181219,P20181224,P20181225,P20181226,P20190108,P20190118,P20190122,P20190125,P20190213,P20190225,P20190304,P20190305,P20190306,P20190312,P20190322,P20190401,P20190404,P20190410,P20190411,P20190515,P20190612,P20190613,P20190621,P20190625,P20190703,P20190717,P20190730,P20190816,P20190909,P20190910,P20190911,P20190916,P20190918,P20190919,P20190923,P20190925
0,C01_cDC2_CXCR4hi,30,0,13,4,9,1,45,5,24,32,14,16,20,19,7,5,2,4,6,10,8,14,0,5,3,10,3,23,24,17,1,0,5,10,6,20,49,218,18,915,67,135,34
0,C02_cDC2_CD1A,13,3,9,17,11,3,0,8,3,3,85,25,5,34,2,28,1,5,35,20,14,9,1,13,8,29,3,11,16,14,7,7,33,9,10,39,131,118,15,166,226,13,7
0,C03_cDC2_IL1B,39,0,21,37,11,0,14,0,22,42,16,36,97,41,15,2,0,5,1,1,0,20,0,8,10,13,50,1,57,18,6,3,15,5,6,12,6,5,20,371,95,68,19
0,C04_cDC2_FCN1,14,0,0,5,3,0,6,9,2,12,5,11,2,27,0,1,1,1,1,53,1,12,0,4,5,17,0,8,11,20,0,0,0,0,1,27,28,195,20,151,43,14,10
0,C05_cDC2_ISG15,7,0,0,0,9,0,3,0,5,7,3,11,3,7,2,0,0,1,2,6,0,5,0,2,0,6,0,4,4,1,0,0,0,3,0,2,0,17,0,167,18,4,3
0,C06_cDC2_CXCL9,0,0,0,4,1,0,0,0,1,1,0,9,1,23,0,2,1,1,0,1,0,2,4,10,0,2,2,8,0,0,0,0,0,2,1,0,6,15,0,51,4,15,4
0,M01_Mast_KIT,72,115,1,66,318,28,106,0,10,2,1,4,1,0,39,4,41,5,30,96,15,0,0,46,49,60,10,0,78,2,2,3,36,0,0,14,422,151,168,1373,471,21,8
0,M01_pDC_LILRA4,0,0,0,0,0,0,0,40,0,0,0,0,0,13,0,0,0,0,0,22,0,14,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,M02_cDC1_CLEC9A,0,0,0,3,0,0,0,6,0,0,0,0,0,21,0,0,0,0,0,0,0,15,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,M02_pDC_LILRA4,29,0,2,13,0,0,4,0,4,7,13,33,18,3,12,16,0,4,17,0,8,0,0,12,4,32,0,6,2,44,9,7,5,64,82,0,42,137,0,21,19,2,4
0,M03_cDC1_CLEC9A,13,0,5,15,2,0,3,0,4,10,10,56,13,9,13,4,0,7,2,4,8,0,0,8,4,5,2,6,21,18,7,0,5,2,8,3,59,80,9,120,50,16,18
0,M03_cDC2_CD1C,0,0,0,6,0,0,0,27,0,0,0,0,0,135,0,0,0,0,0,60,0,92,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
